,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,3251,1B,2B,Stolen Base 2B,457803,Jay Bruce,613317,Kyle Bird,641487,J.P. Crawford,L,Jeff Mathis,425772,5,2,7,False,2019-05-27,Stolen,2B,2019,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9
1,1,1,1,1,1,1,1,6094,1B,2B,Stolen Base 2B,457803,Jay Bruce,613317,Kyle Bird,641487,J.P. Crawford,L,Jeff Mathis,425772,5,2,7,False,2019-05-27,Stolen,2B,2019,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9
2,2,2,2,2,2,2,2,8018,1B,2B,Stolen Base 2B,457803,Jay Bruce,613317,Kyle Bird,641487,J.P. Crawford,L,Jeff Mathis,425772,5,2,7,False,2019-05-27,Stolen,2B,2019,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9,2020,24.9
3,3,3,3,3,3,3,3,93,1B,2B,Stolen Base 2B,457803,Jay Bruce,571951,Bryan Mitchell,453943,Todd Frazier,R,A.J. Ellis,454560,0,2,3,True,2018-04-29,Stolen,2B,2018,2019,26.7,2019,26.7,2019,26.7,2019,26.7,2019,26.7,2019,26.7,2019,26.7,2019,26.7
4,4,4,4,4,4,4,4,418,2B,,Caught Stealing 3B,457803,Jay Bruce,606424,Jarlín García,642708,Amed Rosario,L,Chad Wallach,595453,1,0,5,True,2018-04-11,Caught,3B,2018,2019,26.7,2019,26.7,2019,26.7,2019,26.7,2019,26.7,2019,26.7,2019,26.7,2019,26.7
5,5,5,5,5,5,5,5,1512,1B,2B,Stolen Base 2B,457803,Jay Bruce,542953,Buddy Boshers,467793,Carlos Santana,L,Jason Castro,488771,1,3,7,True,2017-08-15,Stolen,2B,2017,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5
6,6,6,6,6,6,6,6,3389,1B,,Caught Stealing 2B,457803,Jay Bruce,543408,Tom Koehler,435522,Neil Walker,R,J.T. Realmuto,592663,1,0,1,False,2017-05-05,Caught,2B,2017,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5
7,7,7,7,7,7,7,7,884,1B,2B,Stolen Base 2B,457803,Jay Bruce,542953,Buddy Boshers,467793,Carlos Santana,L,Jason Castro,488771,1,3,7,True,2017-08-15,Stolen,2B,2017,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5
8,8,8,8,8,8,8,8,2761,1B,,Caught Stealing 2B,457803,Jay Bruce,543408,Tom Koehler,435522,Neil Walker,R,J.T. Realmuto,592663,1,0,1,False,2017-05-05,Caught,2B,2017,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5,2018,25.5
9,9,9,9,9,9,9,9,5410,1B,2B,Stolen Base 2B,457803,Jay Bruce,643327,Zack Godley,594807,Adam Duvall,R,Welington Castillo,456078,2,1,1,False,2016-07-24,Stolen,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
10,10,10,10,10,10,10,10,5532,1B,,Caught Stealing 2B,457803,Jay Bruce,605538,Matt Wisler,594807,Adam Duvall,R,Anthony Recker,489232,0,0,2,False,2016-07-18,Caught,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
11,11,11,11,11,11,11,11,5692,1B,,Caught Stealing 2B,457803,Jay Bruce,518748,Justin Grimm,571740,Billy Hamilton,R,Miguel Montero,471083,3,5,9,True,2016-07-06,Caught,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
12,12,12,12,12,12,12,12,6154,1B,2B,Stolen Base 2B,457803,Jay Bruce,596043,Daniel Mengden,594807,Adam Duvall,R,Stephen Vogt,519390,2,1,5,False,2016-06-11,Stolen,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
13,13,13,13,13,13,13,13,7164,1B,2B,Stolen Base 2B,457803,Jay Bruce,407822,Jorge De La Rosa,534627,Tyler Holt,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
14,14,14,14,14,14,14,14,7165,2B,3B,Stolen Base 3B,457803,Jay Bruce,407822,Jorge De La Rosa,596112,Robert Stephenson,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,3B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
15,15,15,15,15,15,15,15,1375,1B,2B,Stolen Base 2B,457803,Jay Bruce,643327,Zack Godley,594807,Adam Duvall,R,Welington Castillo,456078,2,1,1,False,2016-07-24,Stolen,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
16,16,16,16,16,16,16,16,1497,1B,,Caught Stealing 2B,457803,Jay Bruce,605538,Matt Wisler,594807,Adam Duvall,R,Anthony Recker,489232,0,0,2,False,2016-07-18,Caught,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
17,17,17,17,17,17,17,17,1657,1B,,Caught Stealing 2B,457803,Jay Bruce,518748,Justin Grimm,571740,Billy Hamilton,R,Miguel Montero,471083,3,5,9,True,2016-07-06,Caught,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
18,18,18,18,18,18,18,18,2119,1B,2B,Stolen Base 2B,457803,Jay Bruce,596043,Daniel Mengden,594807,Adam Duvall,R,Stephen Vogt,519390,2,1,5,False,2016-06-11,Stolen,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
19,19,19,19,19,19,19,19,3129,1B,2B,Stolen Base 2B,457803,Jay Bruce,407822,Jorge De La Rosa,534627,Tyler Holt,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
20,20,20,20,20,20,20,20,3130,2B,3B,Stolen Base 3B,457803,Jay Bruce,407822,Jorge De La Rosa,596112,Robert Stephenson,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,3B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
21,21,21,21,21,21,21,21,4782,1B,2B,Stolen Base 2B,457803,Jay Bruce,643327,Zack Godley,594807,Adam Duvall,R,Welington Castillo,456078,2,1,1,False,2016-07-24,Stolen,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
22,22,22,22,22,22,22,22,4904,1B,,Caught Stealing 2B,457803,Jay Bruce,605538,Matt Wisler,594807,Adam Duvall,R,Anthony Recker,489232,0,0,2,False,2016-07-18,Caught,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
23,23,23,23,23,23,23,23,5064,1B,,Caught Stealing 2B,457803,Jay Bruce,518748,Justin Grimm,571740,Billy Hamilton,R,Miguel Montero,471083,3,5,9,True,2016-07-06,Caught,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
24,24,24,24,24,24,24,24,5526,1B,2B,Stolen Base 2B,457803,Jay Bruce,596043,Daniel Mengden,594807,Adam Duvall,R,Stephen Vogt,519390,2,1,5,False,2016-06-11,Stolen,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
25,25,25,25,25,25,25,25,6536,1B,2B,Stolen Base 2B,457803,Jay Bruce,407822,Jorge De La Rosa,534627,Tyler Holt,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,2B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
26,26,26,26,26,26,26,26,6537,2B,3B,Stolen Base 3B,457803,Jay Bruce,407822,Jorge De La Rosa,596112,Robert Stephenson,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,3B,2016,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3,2017,26.3
27,27,27,27,27,27,27,27,603,2B,3B,Stolen Base 3B,457803,Jay Bruce,476570,Vin Mazzaro,553993,Eugenio Suárez,R,J.T. Realmuto,592663,5,0,8,False,2015-06-19,Stolen,3B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
28,28,28,28,28,28,28,28,609,2B,3B,Stolen Base 3B,457803,Jay Bruce,452733,Tom Gorzelanny,571466,Tucker Barnhart,L,Alex Avila,488671,4,5,6,False,2015-06-18,Stolen,3B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
29,29,29,29,29,29,29,29,771,1B,2B,Stolen Base 2B,457803,Jay Bruce,444468,Héctor Rondón,430910,Brayan Peña,R,Miguel Montero,471083,4,4,10,True,2015-06-12,Stolen,2B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
30,30,30,30,30,30,30,30,996,2B,3B,Stolen Base 3B,457803,Jay Bruce,594840,Matt Grace,446359,Zack Cozart,L,Wilson Ramos,467092,6,2,7,False,2015-05-31,Stolen,3B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
31,31,31,31,31,31,31,31,1114,1B,,Caught Stealing 2B,457803,Jay Bruce,572750,Eddie Butler,430910,Brayan Peña,R,Nick Hundley,460026,2,1,1,False,2015-05-25,Caught,2B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
32,32,32,32,32,32,32,32,1174,1B,,Caught Stealing 2B,457803,Jay Bruce,471911,Carlos Carrasco,571740,Billy Hamilton,R,Roberto Pérez,547379,3,2,4,True,2015-05-22,Caught,2B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
33,33,33,33,33,33,33,33,1344,2B,3B,Stolen Base 3B,457803,Jay Bruce,346793,Jeremy Affeldt,519023,Devin Mesoraco,L,Andrew Susac,572180,4,3,8,False,2015-05-14,Stolen,3B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
34,34,34,34,34,34,34,34,1385,1B,,Caught Stealing 2B,457803,Jay Bruce,592314,Mike Foltynewicz,502117,Kristopher Negrón,R,A.J. Pierzynski,150229,2,3,6,False,2015-05-12,Caught,2B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
35,35,35,35,35,35,35,35,1851,1B,2B,Stolen Base 2B,457803,Jay Bruce,592804,Tyler Thornburg,407781,Marlon Byrd,R,Martín Maldonado,455117,4,8,5,True,2015-04-21,Stolen,2B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
36,36,36,36,36,36,36,36,2009,1B,2B,Stolen Base 2B,457803,Jay Bruce,452657,Jon Lester,430910,Brayan Peña,L,Miguel Montero,471083,0,3,1,True,2015-04-13,Stolen,2B,2015,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8,2016,26.8
