,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
0,0,0,78,1B,2B,Stolen Base 2B,664913,Seth Brown,681217,Chase Silseth,657656,Ramón Laureano,R,Chad Wallach,595453,0,1,1,True,2022-05-20,Stolen,2B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
1,1,1,79,1B,,Caught Stealing 2B,657656,Ramón Laureano,607457,Kyle Barraclough,669221,Sean Murphy,R,Chad Wallach,595453,2,3,5,True,2022-05-20,Caught,2B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
2,2,2,80,2B,3B,Stolen Base 3B,657656,Ramón Laureano,663776,Patrick Sandoval,669221,Sean Murphy,L,Chad Wallach,595453,1,2,5,False,2022-05-15,Stolen,3B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
3,3,3,81,1B,2B,Stolen Base 2B,640461,Chad Pinder,663776,Patrick Sandoval,669221,Sean Murphy,L,Chad Wallach,595453,1,2,5,False,2022-05-15,Stolen,2B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
4,4,4,82,1B,2B,Stolen Base 2B,670764,Taylor Walls,572193,Ryan Tepera,621433,Brett Phillips,R,Chad Wallach,595453,0,1,8,True,2022-05-11,Stolen,2B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
5,5,5,83,1B,2B,Stolen Base 2B,668227,Randy Arozarena,628452,Raisel Iglesias,595281,Kevin Kiermaier,R,Chad Wallach,595453,2,2,9,True,2022-05-11,Stolen,2B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
6,6,6,84,2B,3B,Stolen Base 3B,660644,Vidal Bruján,571901,Aaron Loup,623912,Harold Ramírez,L,Chad Wallach,595453,2,4,10,True,2022-05-11,Stolen,3B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
7,7,7,85,2B,3B,Stolen Base 3B,622534,Manuel Margot,592789,Noah Syndergaard,668227,Randy Arozarena,R,Chad Wallach,595453,0,0,2,True,2022-05-09,Stolen,3B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
8,8,8,86,1B,2B,Stolen Base 2B,595281,Kevin Kiermaier,592789,Noah Syndergaard,668227,Randy Arozarena,R,Chad Wallach,595453,0,0,2,True,2022-05-09,Stolen,2B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
9,9,9,87,1B,2B,Stolen Base 2B,622534,Manuel Margot,592789,Noah Syndergaard,595281,Kevin Kiermaier,R,Chad Wallach,595453,3,1,6,True,2022-05-09,Stolen,2B,2022,2023,29.4,2023,82.0,0.67,2023,82.0,0.67,2023, 82.0, 0.67
